2026-05-31 13:03:01 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:01 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:01 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:03 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:03 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:03 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:05 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:05 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:05 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:08 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:08 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:08 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:10 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:10 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:10 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:12 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:12 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:12 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:14 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:14 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:14 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:17 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:17 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:17 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:19 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:19 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:19 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:21 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:21 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:21 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:23 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:23 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:23 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:26 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:26 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:26 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:28 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:28 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:28 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:30 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:30 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:30 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:32 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:32 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:32 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:34 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:34 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:34 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:37 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:37 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:37 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:39 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:39 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:39 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:41 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:41 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:41 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:43 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:43 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:43 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:45 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:45 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:45 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:48 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:48 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:48 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:50 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:50 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:50 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:53 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:53 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:53 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:55 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:55 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:55 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:03:58 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:03:58 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:03:58 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:04:00 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:04:00 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:04:00 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:04:02 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:04:02 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:04:02 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:04:05 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:04:05 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:04:05 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:04:07 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:04:07 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:04:07 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:04:09 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
2026-05-31 13:04:09 | WARNING  | __main__               | API disconnected — awaiting reconnect
2026-05-31 13:04:09 | INFO     | core.deriv_client      | Reconnecting in 1s (attempt 1)...
2026-05-31 13:04:11 | ERROR    | core.deriv_client      | Connection error: 'ClientConnection' object has no attribute 'open'
